Temperature,Age,UFCcentri,tpH07centri,UFCcong,tpH07cong,UFClyo,TpH07lyo,UFCsto3,tpH07sto3,tpH07scentri,tpH07scong,tpH07slyo,tpH07ssto3,dtpH07cong,dtpH07des,dtpH07lyo,dtpH07sto3,dtpH07tot,dtpH07scong,dtpH07sdes,dtpH07slyo,dtpH07ssto3,dtpH07stot,dUFCcong,dUFCdes,dtUFClyo,dUFCsto3,dUFCtot,C140,C150,C160,C161cis,C170,C180,C181trans9,C181trans11,C181cis9,C181cis11,C19cyc,C220,UFAdivSFA,CFAdivSFA,CFAdivUFA,Anisotropie,UFA,SFA,CFA,tpH07spe2centri,tpH07spe2cong,tpH07spe2lyo,tpH07spe2sto3,dtpH07spe2cong,dtpH07spe2des,dtpH07spe2lyo,dtpH07spe2sto3,dtpH07spe2tot
22,3,1.60E+11,375,2.90E+10,361,1.20E+10,508,1.10E+08,1034,33,35,50,129,-14,147,133,526,659,1.03,16,17,78,95,0.74,0.38,1.12,2.04,3.16,1.0569211993,0.0063460258,49.9049684518,0.534689617,0.2745796257,3.234606289,0,0.0369552867,0,12.356783151,32.5646628522,0.0294875014,0.24,0.60,2.52,0.145,12.9284280546,54.5069090931,32.5646628522,2.34375E-009,1.2448275862069E-008,4.23333333333333E-008,0.0000094,-1.0104525862069E-008,-2.98850574712644E-008,-0.00000004,-9.35766666666667E-006,-9.39765625E-006
22,3,3.00E+11,356,3.90E+10,350,8.40E+09,526,1.90E+07,1105,31,33,53,152,-6,176,170,579,749,2.03,20,22,99,121,0.89,0.67,1.55,2.65,4.20,1.1030823404,0.0043916983,51.6396908333,0.5983008562,0.2098629851,3.3170643445,0,0,0,12.7226546359,30.3345686146,0.0703836917,0.24,0.54,2.28,0.138,13.3209554921,56.3444758933,30.3345686146,1.18666666666667E-009,0.000000009,6.26190476190476E-008,5.81578947368421E-005,-7.78769230769231E-009,-5.36446886446887E-008,-6.1432380952381E-008,-5.80952756892231E-005,-5.81567080701754E-005
22,4,2.50E+11,366,3.50E+10,360,9.90E+09,431,2.00E+08,839,32,34,43,101,-6,71,65,408,473,2.03,9,11,58,69,0.85,0.55,1.40,1.69,3.10,1.3422344788,0.0050546389,53.1607303639,0.4216075968,0.1827707009,3.9623096657,0,0,0,6.0514955691,34.7824896508,0.0913073351,0.11,0.59,5.37,0.172,6.4731031659,58.7444071833,34.7824896508,1.464E-009,1.02857142857143E-008,4.35353535353535E-008,0.000004195,-8.82171428571428E-009,-3.32496392496393E-008,-4.20713535353535E-008,-4.15146464646465E-006,-4.193536E-006
22,4,2.10E+11,351,3.20E+10,336,1.40E+10,456,3.00E+08,1016,31,32,45,120,-15,120,105,560,665,0.98,13,14,75,89,0.82,0.36,1.18,1.67,2.85,1.0662343568,0.0018425056,52.0199619707,0.3635934426,0.1556588705,4.2154637195,0,0,0,5.7041648882,36.4388337069,0.0342465392,0.11,0.63,6.01,0.164,6.0677583308,57.4934079623,36.4388337069,1.67142857142857E-009,1.05E-008,3.25714285714286E-008,3.38666666666667E-006,-8.82857142857143E-009,-2.20714285714286E-008,-3.09E-008,-3.35409523809524E-006,-0.000003385
30,1,1.80E+11,458,3.20E+10,438,1.10E+10,599,1.60E+07,1527,41,42,60,212,-20,161,141,928,1069,1.00,18,19,152,171,0.75,0.46,1.21,2.84,4.05,2.4794981552,0.0039996162,52.1533976267,1.1524676379,0.1230015571,2.0252197157,0.0925191647,0.0393813354,0.4666540575,22.6088289074,18.8550322262,0,0.43,0.33,0.77,0.144,24.3598511029,56.785116671,18.8550322262,2.54444444444444E-009,1.36875E-008,5.44545454545455E-008,9.54375E-005,-1.11430555555556E-008,-4.07670454545455E-008,-5.1910101010101E-008,-0.000095383,-0.000095435
30,1,6.20E+10,435,2.20E+10,458,1.20E+10,618,8.00E+06,1368,40,44,61,198,23,160,183,750,933,3.98,17,21,137,158,0.45,0.26,0.71,3.18,3.89,2.2727274611,0.0072213134,50.0765112218,1.2664570225,0.2334036447,1.9823432065,0,0.1365731798,5.1889181138,21.9532454321,16.8825994044,0,0.52,0.31,0.59,0.147,28.5451937482,54.5722068475,16.8825994044,0.000000007,2.08181818181818E-008,5.15E-008,0.000171,-1.38020527859238E-008,-3.06818181818182E-008,-4.44838709677419E-008,-0.0001709485,-0.000170993
30,2,5.80E+10,405,2.10E+10,430,8.60E+09,602,5.20E+07,1525,38,42,61,198,25,172,197,923,1120,4.03,19,23,137,160,0.44,0.39,0.83,2.22,3.05,2.0413717681,0.004114707,48.6328952811,0.5724451352,0.1346050953,2.2951792682,0.0528507176,0,7.6506331944,9.4484004523,29.1675043808,0,0.33,0.55,1.65,0.152,17.7243294996,53.1081661197,29.1675043808,0.000000007,2.04761904761905E-008,0.00000007,2.93269230769231E-005,-1.34934318555008E-008,-4.95238095238095E-008,-0.000000063,-2.92569230769231E-005,-2.93199403183024E-005
30,2,2.90E+11,415,3.90E+10,383,9.90E+09,502,1.30E+07,1209,36,36,50,170,-32,119,87,707,794,-0.04,14,14,120,134,0.87,0.60,1.47,2.88,4.35,1.9717345643,0.0044145507,49.0576372356,0.720635116,0.1823065797,2.352368383,0,0,6.4767403767,10.0806248521,29.1535383419,0,0.32,0.54,1.69,0.149,17.2780003447,53.5684613134,29.1535383419,1.43103448275862E-009,9.82051282051282E-009,5.07070707070707E-008,0.000093,-8.3894783377542E-009,-4.08865578865579E-008,-4.92760362243121E-008,-9.29492929292929E-005,-9.29985689655172E-005
30,3,1.50E+11,378,3.00E+10,355,1.10E+10,499,1.10E+08,1140,34,34,50,142,-23,144,121,641,762,0.06,16,16,92,108,0.70,0.44,1.13,2.00,3.13,1.8211414208,0.0037785068,51.063150943,0.3520215406,0.0786030484,3.1801510222,0.1008535196,0,4.0028312439,4.3387657073,35.0587030474,0,0.16,0.62,3.99,0.164,8.7944720115,56.1468249412,35.0587030474,2.52E-009,1.18333333333333E-008,4.53636363636364E-008,1.03636363636364E-005,-9.31333333333333E-009,-3.3530303030303E-008,-4.28436363636364E-008,-1.03182727272727E-005,-1.03611163636364E-005
30,3,6.00E+11,378,5.10E+10,365,1.10E+10,453,6.90E+08,832,32,34,45,94,-13,88,75,379,454,1.99,11,13,49,62,1.07,0.67,1.74,1.20,2.94,1.8246466234,0.0031870953,51.2531107889,0.380409326,0.0518482817,3.4361472469,0,0,4.3275901121,4.8009121862,33.9221483395,0,0.17,0.60,3.57,0.164,9.5089116243,56.5689400362,33.9221483395,6.3E-010,7.15686274509804E-009,4.11818181818182E-008,1.20579710144928E-006,-6.52686274509804E-009,-0.000000034,-4.05518181818182E-008,-1.16461528326746E-006,-1.20516710144928E-006
