numexp,Temperature,Age,UFCcentri,tpH07centri,UFCcong,tpH07cong,UFClyo,TpH07lyo,UFCsto3,tpH07sto3,C140,C150,C160,C161cis,C170,C180,C181trans9,C181trans11,C181cis9,C181cis11,C19cyc,C220,Anisotropie,AMACBIOSYNTHsousexpr,BIOSYNTH_CARRIERSsousexpr,CELLENVELOPEsousexpr,CELLPROCESSESsousexpr,CENTRINTMETABOsousexpr,ENMETABOsousexpr,FATTYACIDMETABOsousexpr,Hypoprotsousexpr,OTHERCATsousexpr,PURINESsousexpr,REGULFUNsousexpr,REPLICATIONsousexpr,TRANSCRIPTIONsousexpr,TRANSLATIONsousexpr,TRANSPORTPROTEINSsousexpr,AMACBIOSYNTHsurexpr,BIOSYNTH_CARRIERSsurexpr,CELLENVELOPEsurexpr,CELLPROCESSESsurexpr,CENTRINTMETABOsurexpr,ENMETABOsurexpr,FATTYACIDMETABOsurexpr,Hypoprotsurexpr,OTHERCATsurexpr,PURINESsurexpr,REGULFUNsurexpr,REPLICATIONsurexpr,TRANSCRIPTIONsurexpr,TRANSLATIONsurexpr,TRANSPORTPROTEINSsurexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autre,condition,condition,PopCentri,PopCentri,PopCong,PopCong,PopLyo,PopLyo,PopSto3,PopSto3,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,3,160000000000,375,29000000000,361,12000000000,508,110000000,1034,1.0569211993,0.0063460258,49.9049684518,0.534689617,0.2745796257,3.234606289,0,0.0369552867,0,12.356783151,32.5646628522,0.0294875014,0.145,"0,8671328671",0,0,0,0,0,0,0,0,0,0,0,"0,006993007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,006993007",0,"0,006993007",0,0,0,0,0,0,0,0,"0,013986014",0,"0,034965035",0,0,"0,013986014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,006993007","0,020979021",0,0,"0,013986014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,006993007",0,0,0,0,0,0,0,0,0,0,0,0
3,22,3,300000000000,356,39000000000,350,8400000000,526,19000000,1105,1.1030823404,0.0043916983,51.6396908333,0.5983008562,0.2098629851,3.3170643445,0,0,0,12.7226546359,30.3345686146,0.0703836917,0.138,55,55,110,47,24,148,25,537,330,61,131,120,30,164,243,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,4,250000000000,366,35000000000,360,9900000000,431,200000000,839,1.3422344788,0.0050546389,53.1607303639,0.4216075968,0.1827707009,3.9623096657,0,0,0,6.0514955691,34.7824896508,0.0913073351,0.172,1,1,5,2,1,8,3,58,20,2,4,6,0,1,7,22,9,5,0,0,7,0,30,27,2,1,5,0,1,18,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,4,210000000000,351,32000000000,336,14000000000,456,300000000,1016,1.0662343568,0.0018425056,52.0199619707,0.3635934426,0.1556588705,4.2154637195,0,0,0,5.7041648882,36.4388337069,0.0342465392,0.164,26,6,14,6,14,47,7,153,86,1,18,18,1,20,59,6,1,4,0,0,3,4,21,5,1,3,3,0,0,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,30,3,150000000000,378,30000000000,355,11000000000,499,110000000,1140,1.8211414208,0.0037785068,51.063150943,0.3520215406,0.0786030484,3.1801510222,0.1008535196,0,4.0028312439,4.3387657073,35.0587030474,0,0.164,9,5,1,1,0,7,1,37,19,0,0,4,0,0,8,12,5,9,0,7,12,12,60,52,16,9,1,0,4,41,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,30,3,600000000000,378,51000000000,365,11000000000,453,690000000,832,1.8246466234,0.0031870953,51.2531107889,0.380409326,0.0518482817,3.4361472469,0,0,4.3275901121,4.8009121862,33.9221483395,0,0.164,10,3,15,3,1,19,4,83,41,2,5,8,0,19,30,1,1,0,0,0,2,0,14,19,0,4,5,0,0,8,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,30,4,180000000000,381,32000000000,377,13000000000,403,1300000000,828,2.2636666621,0.0029578729,56.8355917411,0.3373327251,0.0984622474,3.8699390354,0,0,0.2207399613,3.0918247214,33.17977145,0.0997135833,0.174,9,5,1,1,0,9,5,49,28,0,9,5,0,0,12,8,1,6,2,1,9,9,29,35,14,4,2,1,0,27,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,30,4,230000000000,385,35000000000,378,9500000000,438,350000000,1119,2.1200670981,0.0040569863,55.8426304074,0.3470122474,0.2090375336,3.8543683835,0,0,0.1334565162,3.1694141687,34.1598827343,0.1600739246,0.17,6,3,24,3,3,12,12,67,41,21,16,9,1,33,60,1,4,0,1,0,2,0,24,14,0,4,5,0,0,5,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,3,170000000000,383,31000000000,379,7100000000,513,160000000,1143,1.0821258008,0.0043821413,51.6598134748,0.609124195,0.289443673,3.2706733745,0,0,0,14.9301059011,28.1543314394,0,0.134,10,5,5,3,2,12,1,45,58,5,7,10,0,0,12,4,0,1,0,0,8,0,11,5,0,1,0,0,0,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
