numexp;Temperature;Age;dUFCCong;dtpH07Cong;dtpH07speCong;dUFCLyo;dtpH07Lyo;dtpH07speLyo;dUFCSto3;dtpH07Sto3;dtpH07speSto3;Anisotropie;UFA;SFA;CFA;UFASFA;CFASFA;CFAUFA;Unknown;Oxidoreductases;Transferases;Hydrolases;Lyases;Isomerases;Ligases;AMINO-ACIDBIOSYNTHESIS;BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS;CELLENVELOPE;CELLULARPROCESSES;CENTRALINTERMEDIARYMETABOLISM;ENERGYMETABOLISM;FATTYACIDANDPHOSPHOLIPIDMETABOLISM;Hypotheticalprotein;OTHERCATEGORIES;PURINESPYRIMIDINESNUCLEOSIDESANDNUCLEOTIDES;REGULATORYFUNCTIONS;REPLICATION;TRANSCRIPTION;TRANSLATION;TRANSPORTANDBINDINGPROTEINS;Cellular Processes;Environmental Information Processing;Genetic Information Processing;Human Diseases;Metabolism;Organismal Systems
Autre;condition;condition;PopUFC;PoptpH07;PoptpH07spe;PopUFC;PoptpH07;PoptpH07spe;PopUFC;PoptpH07;PoptpH07spe;CellAniso;Cell;Cell;Cell;Cell;Cell;Cell;ECNUMBER;ECNUMBER;ECNUMBER;ECNUMBER;ECNUMBER;ECNUMBER;ECNUMBER;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;VOIESMETABO;VOIESMETABO;VOIESMETABO;VOIESMETABO;VOIESMETABO;VOIESMETABO
0;0;0;0;0;0;0;0;0;0;0;0;0.02;1;1;1;0.02;0.02;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;22;3;-1.31E+11;-1.40E+01;1.01E-08;-1.70E+10;1.47E+02;2.99E-08;-11890000000;526;9.36E-06;0.145;12.89147277;54.50056307;32.56466285;0.236538341;0.597510576;2.526062261;1.01E+06;2.07E+05;3.24E+05;2.30E+05;1.49E+05;82461;83248;62361;24978;73553;82975;25889;5.66E+05;29035;1.98E+05;1.67E+05;44873;69548;79911;28702;2.69E+05;3.65E+05;89586;2.46E+05;1.99E+05;2.32E+05;4.23E+05;36756
3;22;3;-2.61E+11;-6.00E+00;7.78E-09;-3.06E+10;1.76E+02;5.36E-08;-8381000000;579;5.81E-05;0.138;13.3209555;56.34008419;30.33456861;0.236438331;0.538418944;2.277206663;1.09E+06;2.19E+05;2.91E+05;2.22E+05;1.29E+05;74099;70754;60943;27000;77626;94793;32832;5.05E+05;17832;2.69E+05;2.23E+05;42492;73281;86583;33810;2.08E+05;3.39E+05;94859;2.11E+05;1.59E+05;2.36E+05;3.69E+05;41221
4;22;4;-2.15E+11;-6.00E+00;8.83E-09;-2.51E+10;7.10E+01;3.32E-08;-9700000000;408;4.15E-06;0.172;6.473103166;58.73935254;34.78248965;0.110200451;0.592149694;5.373387193;1.05E+06;1.97E+05;3.16E+05;2.29E+05;1.39E+05;78745;76367;76498;43992;78546;89053;29749;4.98E+05;25104;2.20E+05;1.89E+05;45294;70445;88574;30638;2.38E+05;3.59E+05;1.07E+05;2.15E+05;1.73E+05;2.27E+05;4.20E+05;25952
6;22;4;-1.78E+11;-1.50E+01;8.83E-09;-1.80E+10;1.20E+02;2.21E-08;-13700000000;560;3.35E-06;0.164;6.067758331;57.49156546;36.43883371;0.105541714;0.63381182;6.005320536;1.10E+06;2.11E+05;2.58E+05;1.87E+05;1.18E+05;64359;61267;61422;32675;75607;89464;22738;4.18E+05;15549;3.05E+05;2.40E+05;46142;73705;87329;31178;1.87E+05;3.18E+05;91885;1.96E+05;1.44E+05;2.37E+05;3.02E+05;37559
13;30;3;-1.20E+11;-2.30E+01;9.31E-09;-1.90E+10;1.44E+02;3.35E-08;-10890000000;641;1.03E-05;0.164;8.693618492;56.14304643;35.05870305;0.154847644;0.624453165;4.032693991;1.03E+06;2.12E+05;3.02E+05;1.99E+05;1.35E+05;79703;72299;52841;26118;69104;81960;29871;5.18E+05;27856;2.26E+05;1.85E+05;44395;71032;77999;27338;2.25E+05;3.68E+05;1.14E+05;2.24E+05;1.59E+05;2.35E+05;3.85E+05;34616
14;30;3;-5.49E+11;-1.30E+01;6.53E-09;-4.00E+10;8.80E+01;3.40E-08;-10310000000;379;1.16E-06;0.164;9.508911624;56.56575294;33.92214834;0.168103687;0.599694101;3.567405996;1.07E+06;2.25E+05;2.62E+05;2.01E+05;1.33E+05;69567;53788;46356;35721;65580;94782;26537;4.76E+05;16106;2.87E+05;2.65E+05;43633;67944;78746;26060;1.64E+05;3.21E+05;95511;2.08E+05;1.16E+05;2.55E+05;3.26E+05;30507
17;30;4;-1.48E+11;-4.00E+00;9.66E-09;-1.90E+10;2.60E+01;1.92E-08;-11700000000;425;6.06E-07;0.174;3.649897408;63.16737327;33.17977145;0.057781371;0.525267551;9.090603856;1.03E+06;2.17E+05;3.26E+05;2.06E+05;1.52E+05;87266;75787;51397;26721;74290;84969;30446;5.59E+05;29322;2.14E+05;1.83E+05;48587;69500;79948;27219;2.38E+05;3.80E+05;1.19E+05;2.45E+05;1.66E+05;2.42E+05;4.12E+05;33145
18;30;4;-1.95E+11;-7.00E+00;9.13E-09;-2.55E+10;6.00E+01;3.53E-08;-9150000000;681;3.15E-06;0.17;3.649882932;62.18617735;34.15988273;0.058692833;0.54931633;9.359172162;1.07E+06;2.31E+05;2.40E+05;1.97E+05;1.17E+05;57104;39146;37556;41191;63335;91865;25991;4.78E+05;15221;3.02E+05;2.78E+05;38356;66395;73493;25957;1.54E+05;2.56E+05;63359;1.72E+05;1.10E+05;2.50E+05;3.22E+05;24427
