Temperature;Age;UFCcentri;tpH07centri;tph07speCentri;UFCcong;tpH07cong;tph07speCong;dUFCCong;dtpH07Cong;dtpH07speCong;UFClyo;TpH07lyo;tph07speLyo;dUFCLyo;dtpH07Lyo;dtpH07speLyo;UFCsto3;tpH07sto3;tph07speSto3;dUFCSto3;dtpH07Sto3;dtpH07speSto3;C140;C160;C161cis;C170;C180;C181cis;C19cyc;C220;Anisotropie;UFA;SFA;CFA;UFASFA;CFASFA;CFAUFA
condition;condition;PopCentri;PopCentri;PopCentri;PopCong;PopCong;PopCong;Pop;Pop;Pop;PopLyo;PopLyo;PopLyo;Pop;Pop;Pop;PopSto3;PopSto3;PopSto3;Pop;Pop;Pop;Cell;Cell;Cell;Cell;Cell;Cell;Cell;Cell;CellAniso;Cell;Cell;Cell;Cell;Cell;Cell
0;0;5.00E+10;10;0;17542000000;10;0;0;0;0;5400000000;10;0;0;0;0;190292000;10;0;0;0;0;0.3;1;1;1;1;1;1;1;0.02;1;1;1;0.02;0.02;0.02
22;3;1.60E+11;375;2.34E-09;29000000000;361;1.24E-08;-1.31E+11;-1.40E+01;1.01E-08;12000000000;508;4.23E-08;-1.70E+10;1.47E+02;2.99E-08;110000000;1034;0.0000094;-11890000000;526;9.35767E-06;1.056921199;49.90496845;0.534689617;0.274579626;3.234606289;12.35678315;32.56466285;0.029487501;0.145;12.89147277;54.50056307;32.56466285;0.236538341;0.597510576;2.526062261
22;3;3.00E+11;356;1.19E-09;39000000000;350;8.97E-09;-2.61E+11;-6.00E+00;7.78E-09;8400000000;526;6.26E-08;-3.06E+10;1.76E+02;5.36E-08;19000000;1105;5.82E-05;-8381000000;579;5.80953E-05;1.10308234;51.63969083;0.598300856;0.209862985;3.317064345;12.72265464;30.33456861;0.070383692;0.138;13.3209555;56.34008419;30.33456861;0.236438331;0.538418944;2.277206663
22;4;2.50E+11;366;1.46E-09;35000000000;360;1.03E-08;-2.15E+11;-6.00E+00;8.83E-09;9900000000;431;4.35E-08;-2.51E+10;7.10E+01;3.32E-08;200000000;839;0.000004195;-9700000000;408;4.15146E-06;1.342234479;53.16073036;0.421607597;0.182770701;3.962309666;6.051495569;34.78248965;0.091307335;0.172;6.473103166;58.73935254;34.78248965;0.110200451;0.592149694;5.373387193
22;4;2.10E+11;351;1.67E-09;32000000000;336;1.05E-08;-1.78E+11;-1.50E+01;8.83E-09;14000000000;456;3.26E-08;-1.80E+10;1.20E+02;2.21E-08;300000000;1016;3.39E-06;-13700000000;560;3.3541E-06;1.066234357;52.01996197;0.363593443;0.155658871;4.21546372;5.704164888;36.43883371;0.034246539;0.164;6.067758331;57.49156546;36.43883371;0.105541714;0.63381182;6.005320536
30;3;1.50E+11;378;2.52E-09;30000000000;355;1.18E-08;-1.20E+11;-2.30E+01;9.31E-09;11000000000;499;4.54E-08;-1.90E+10;1.44E+02;3.35E-08;110000000;1140;1.04E-05;-10890000000;641;1.03182E-05;1.821141421;51.06315094;0.352021541;0.078603048;3.180151022;8.341596951;35.05870305;0;0.164;8.693618492;56.14304643;35.05870305;0.154847644;0.624453165;4.032693991
30;3;6.00E+11;378;6.30E-10;51000000000;365;7.16E-09;-5.49E+11;-1.30E+01;6.53E-09;11000000000;453;4.12E-08;-4.00E+10;8.80E+01;3.40E-08;690000000;832;1.21E-06;-10310000000;379;1.16462E-06;1.824646623;51.25311079;0.380409326;0.051848282;3.436147247;9.128502298;33.92214834;0;0.164;9.508911624;56.56575294;33.92214834;0.168103687;0.599694101;3.567405996
30;4;1.80E+11;381;2.12E-09;32000000000;377;1.18E-08;-1.48E+11;-4.00E+00;9.66E-09;13000000000;403;0.000000031;-1.90E+10;2.60E+01;1.92E-08;1300000000;828;6.37E-07;-11700000000;425;6.05923E-07;2.263666662;56.83559174;0.337332725;0.098462247;3.869939035;3.312564683;33.17977145;0.099713583;0.174;3.649897408;63.16737327;33.17977145;0.057781371;0.525267551;9.090603856
30;4;2.30E+11;385;1.67E-09;35000000000;378;1.08E-08;-1.95E+11;-7.00E+00;9.13E-09;9500000000;438;4.61E-08;-2.55E+10;6.00E+01;3.53E-08;350000000;1119;3.20E-06;-9150000000;681;3.15103E-06;2.120067098;55.84263041;0.347012247;0.209037534;3.854368384;3.302870685;34.15988273;0.160073925;0.17;3.649882932;62.18617735;34.15988273;0.058692833;0.54931633;9.359172162
22;3;1.70E+11;383;2.25E-09;31000000000;379;1.22E-08;-1.39E+11;-4.00E+00;9.98E-09;7100000000;513;7.23E-08;-2.39E+10;1.34E+02;6.00E-08;160000000;1143;7.14E-06;-6940000000;630;7.0715E-06;1.082125801;51.65981347;0.609124195;0.289443673;3.270673375;14.9301059;28.15433144;0;0.134;15.5392301;56.30205632;28.15433144;0.275997559;0.500058671;1.811822804
22;4;2.30E+11;370;1.61E-09;35000000000;354;1.01E-08;-1.95E+11;-1.60E+01;8.50E-09;6700000000;467;6.97E-08;-2.83E+10;1.13E+02;5.96E-08;250000000;986;0.000003944;-6450000000;519;3.8743E-06;1.243931313;53.20229422;0.477270721;0.249933957;4.482860688;6.51870141;33.68920363;0.080223542;0.171;6.995972131;59.25924372;33.68920363;0.118057061;0.56850546;4.81551427
30;3;3.00E+11;390;1.30E-09;39000000000;381;9.77E-09;-2.61E+11;-9.00E+00;8.47E-09;11000000000;451;0.000000041;-2.80E+10;7.00E+01;3.12E-08;78000000;1002;1.28E-05;-10922000000;551;1.28052E-05;1.774463272;50.36462396;0.416873276;0.101332095;3.134733319;9.464609919;34.73922532;0;0.169;9.881483195;55.37515265;34.73922532;0.178446157;0.627343197;3.51558816
30;4;1.90E+11;398;2.09E-09;33000000000;382;1.16E-08;-1.57E+11;-1.60E+01;9.49E-09;16000000000;452;2.83E-08;-1.70E+10;7.00E+01;1.67E-08;1000000000;822;0.000000822;-15000000000;370;7.9375E-07;2.267971904;56.62705501;0.349538203;0.055329;3.475637667;3.22842038;33.99308381;0;0.163;3.577958583;62.42599358;33.99308381;0.057315204;0.544534125;9.50069237
