numexp,Temperature,Age,dUFCCong,dtpH07Cong,dtpH07speCong,dUFCLyo,dtpH07Lyo,dtpH07speLyo,dUFCSto3,dtpH07Sto3,dtpH07speSto3,Anisotropie,UFA,SFA,CFA,UFASFA,CFASFA,CFAUFA,O208_01618,O208_01647,O208_01648,O208_01651,O208_01652,O208_01653,O208_01654,O208_02011,O208_02040,O208_02701,O208_02702,O208_02713,O208_01837,O208_01838,O208_01839,O208_00242,O208_00856,O208_01072,O208_00090,O208_00092,O208_00428,O208_01463,O208_02391,O208_02736,O208_01223,O208_01229
Autre,condition,condition,PopUFC,PoptpH07,PoptpH07spe,PopUFC,PoptpH07,PoptpH07spe,PopUFC,PoptpH07,PoptpH07spe,CellAniso,Cell,Cell,Cell,Cell,Cell,Cell,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol,mol
0,0,0,0,0,0,0,0,0,0,0,0,0.02,1,1,1,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,3,-1.31E+11,-1.40E+01,1.01E-08,-1.70E+10,1.47E+02,2.99E-08,-11890000000,526,9.36E-06,0.145,12.89147277,54.50056307,32.56466285,0.236538341,0.597510576,2.526062261,843.168677,516.3951527,286.2589207,1023.823959,438.0226408,159.4017192,917.224059,50.14512415,55.45851479,1101.864384,131.1743314,21.91773638,17.93269341,134.4952005,249.72936,556.9097563,112.5774642,293.8969197,71.39868671,0.996260745,78.040425,1.992521489,1108.838209,371.6052578,138.4802435,5.977564468
3,22,3,-2.61E+11,-6.00E+00,7.78E-09,-3.06E+10,1.76E+02,5.36E-08,-8381000000,579,5.81E-05,0.138,13.3209555,56.34008419,30.33456861,0.236438331,0.538418944,2.277206663,923,770,361,1328,704,237,1295,36,53,1039,218,21,12,164,318,565,144,411,86,0,117,3,1070,382,142,8
4,22,4,-2.15E+11,-6.00E+00,8.83E-09,-2.51E+10,7.10E+01,3.32E-08,-9700000000,408,4.15E-06,0.172,6.473103166,58.73935254,34.78248965,0.110200451,0.592149694,5.373387193,653.7235571,316.470746,200.1641009,201.987089,135.6303197,41.56413023,192.1429529,19.68827222,18.22988168,1418.649392,23.33424855,14.94850298,6.562757406,53.96044978,87.50343207,713.1529714,71.09653856,130.8905505,45.93930184,2.916781069,40.1057397,2.916781069,505.6969179,487.8316338,143.28687,14.94850298
6,22,4,-1.78E+11,-1.50E+01,8.83E-09,-1.80E+10,1.20E+02,2.21E-08,-13700000000,560,3.35E-06,0.164,6.067758331,57.49156546,36.43883371,0.105541714,0.63381182,6.005320536,576.759206,412.4923435,232.2550916,362.7559879,116.8119911,38.78523141,156.5098162,21.44595149,41.06671561,1592.019675,29.20299777,13.6889052,6.844452602,83.04602491,128.6757089,730.0749443,10.95112416,110.4238353,37.87263773,2.737781041,66.61933866,2.737781041,398.3471415,549.8376924,145.558692,4.106671561
13,30,3,-1.20E+11,-2.30E+01,9.31E-09,-1.90E+10,1.44E+02,3.35E-08,-10890000000,641,1.03E-05,0.164,8.693618492,56.14304643,35.05870305,0.154847644,0.624453165,4.032693991,485.9517193,279.415204,180.9304896,185.7140329,106.0821067,32.6406482,155.6058488,16.8830939,18.85278819,1383.28816,50.36789679,13.78786002,3.658003678,35.73588208,77.66223193,719.5011849,52.05620618,117.3375026,43.89604413,2.251079186,43.33327434,4.220773474,451.059992,595.1290599,144.0690679,43.89604413
14,30,3,-5.49E+11,-1.30E+01,6.53E-09,-4.00E+10,8.80E+01,3.40E-08,-10310000000,379,1.16E-06,0.164,9.508911624,56.56575294,33.92214834,0.168103687,0.599694101,3.567405996,518.8257831,180.3585406,138.8929322,105.855293,69.4464661,22.58695742,92.70766105,14.83322577,16.85593837,1551.757687,27.9808577,14.83322577,2.022712605,17.86729468,47.53374621,644.2339646,9.776444256,99.4500364,34.04899551,3.371187675,18.54153221,5.393900279,289.5850212,618.950057,152.0405641,57.31019047
17,30,4,-1.48E+11,-4.00E+00,9.66E-09,-1.90E+10,2.60E+01,1.92E-08,-11700000000,425,6.06E-07,0.174,3.649897408,63.16737327,33.17977145,0.057781371,0.525267551,9.090603856,558.5289498,318.1620268,177.1999585,192.4930131,121.0146058,36.90280561,190.4982668,23.27203958,16.2904277,1338.142276,30.25365145,18.28517395,5.319323332,42.55458665,71.14594956,675.8865208,71.47840727,123.6742675,50.53357165,0.332457708,35.57297478,2.992119374,458.1267219,470.0951994,175.8701276,44.21687519
18,30,4,-1.95E+11,-7.00E+00,9.13E-09,-2.55E+10,6.00E+01,3.53E-08,-9150000000,681,3.15E-06,0.17,3.649882932,62.18617735,34.15988273,0.058692833,0.54931633,9.359172162,606.8420133,243.532901,215.3076911,362.585389,179.4833862,55.36483484,222.5449244,20.62611494,12.30329663,1525.246921,60.43089816,17.36935995,3.980478322,19.17866828,94.44589473,672.7008364,34.7387199,111.8152547,45.23270821,1.809308328,22.43542327,1.809308328,453.4126671,542.0687751,176.5884928,26.77776326
2,22,3,-1.39E+11,-4.00E+00,9.98E-09,-2.39E+10,1.34E+02,6.00E-08,-6940000000,630,7.07E-06,0.134,15.5392301,56.30205632,28.15433144,0.275997559,0.500058671,1.811822804,783.6975738,639.7361878,384.1736121,1240.059316,752.5820005,233.5742372,1177.413295,43.97667698,44.80642561,1063.32286,190.8421831,18.669344,15.35034951,120.3135502,255.1477014,577.0901668,129.0259108,289.5822692,85.87898241,1.244622934,102.4739549,2.489245867,1050.046882,380.4397433,147.2803805,12.44622934
