numexp,Temperature,Age,dUFCCong,dtpH07Cong,dtpH07speCong,dUFCLyo,dtpH07Lyo,dtpH07speLyo,dUFCSto3,dtpH07Sto3,dtpH07speSto3,Anisotropie,UFA,SFA,CFA,UFASFA,CFASFA,CFAUFA,leu_iso_val,metabo_glycerol,parois,transp_galactose,galactose2,acide_teichoique,exopolysaccharide,pompe_a_protons,synth_elong_acgras,L_LDH_transp,L_LDH,Cuivre,hydrogenase_copper,tryptophane_synth,arginine_glutamine,purines_synth,prot_fer_souffre
Autre,condition,condition,Population,Population,Population,Population,Population,Population,Population,Population,Population,CellAniso,Cell,Cell,Cell,Cell,Cell,Cell,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes,Genes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,3,-1.31E+11,-1.40E+01,1.01E-08,-1.70E+10,1.47E+02,2.99E-08,-11890000000,526,9.36E-06,0.145,12.89147277,54.50056307,32.56466285,0.236538341,0.597510576,2.526062261,1246.351424,250.5805096,18877.88395,9182.219786,254590.6167,35480.07105,5412.866564,134256.2875,37069.53761,15594.13283,20077.55861,6646.11574,1121.061169,443.8386805,32236.44556,8995.51274,10046.96821
3,22,3,-2.61E+11,-6.00E+00,7.78E-09,-3.06E+10,1.76E+02,5.36E-08,-8381000000,579,5.81E-05,0.138,13.3209555,56.34008419,30.33456861,0.236438331,0.538418944,2.277206663,1584.233452,310.3137689,7316.872026,15993.99163,197070.242,25779.37469,4113.407329,74463.63862,11033.6377,14979.05562,19388.7776,15431.69374,2365.850841,424.6398944,16833.93867,3838.091353,10508.67079
4,22,4,-2.15E+11,-6.00E+00,8.83E-09,-2.51E+10,7.10E+01,3.32E-08,-9700000000,408,4.15E-06,0.172,6.473103166,58.73935254,34.78248965,0.110200451,0.592149694,5.373387193,689.1635975,315.7651818,15964.40574,2362.150846,239860.5896,28503.28688,4932.917764,76476.05418,23254.60393,14520.32795,19738.16494,10423.49794,1255.755106,1487.099777,100775.3619,3276.976964,11456.83747
6,22,4,-1.78E+11,-1.50E+01,8.83E-09,-1.80E+10,1.20E+02,2.21E-08,-13700000000,560,3.35E-06,0.164,6.067758331,57.49156546,36.43883371,0.105541714,0.63381182,6.005320536,213.829444,124.836843,3852.638016,3984.89091,205074.7968,14718.38739,3070.244733,23346.96166,12634.47732,4732.67596,7355.48567,48937.27847,4167.820145,354.7343955,22133.20146,3523.859796,17880.09674
13,30,3,-1.20E+11,-2.30E+01,9.31E-09,-1.90E+10,1.44E+02,3.35E-08,-10890000000,641,1.03E-05,0.164,8.693618492,56.14304643,35.05870305,0.154847644,0.624453165,4.032693991,899.7548767,1147.729489,15878.50549,1677.555026,274123.0607,26461.46571,4473.028386,70657.85888,33918.99728,13025.4424,20327.14293,9156.089913,1197.188906,720.8879433,15301.93064,8096.438838,9627.648191
14,30,3,-5.49E+11,-1.30E+01,6.53E-09,-4.00E+10,8.80E+01,3.40E-08,-10310000000,379,1.16E-06,0.164,9.508911624,56.56575294,33.92214834,0.168103687,0.599694101,3.567405996,205.3234319,1286.071314,4732.705105,1245.006628,259881.6009,13145.36608,2345.353565,28564.22253,11203.19307,6306.229224,9485.009265,34179.81839,3011.721431,518.9083096,46591.61984,2574.009205,13503.7488
17,30,4,-1.48E+11,-4.00E+00,9.66E-09,-1.90E+10,2.60E+01,1.92E-08,-11700000000,425,6.06E-07,0.174,3.649897408,63.16737327,33.17977145,0.057781371,0.525267551,9.090603856,802.0048396,927.900948,18980.7812,1847.253395,301031.584,29494.66054,4766.955122,79053.43051,35436.64601,11798.48592,21105.47232,8315.360255,1177.361756,916.243901,12051.05528,8743.562452,10758.67732
18,30,4,-1.95E+11,-7.00E+00,9.13E-09,-2.55E+10,6.00E+01,3.53E-08,-9150000000,681,3.15E-06,0.17,3.649882932,62.18617735,34.15988273,0.058692833,0.54931633,9.359172162,576.6389631,814.5025353,5091.927987,4836.559303,147869.7947,14982.31591,2174.752661,59650.21159,8979.092424,13160.75462,25616.15622,16727.67849,2016.176946,459.2517456,36790.59556,433.5089348,6769.329542
