rendement,nb_ceps,rendement,etat_sanitaire,mout_masse_volumique_a_20C,mout_sucre_mout,mout_titre_alcoometrique_volumique_naturel_aero,mout_titre_alcoometrique_volumique_naturel_refracto,mout_titre_alcoometrique_volumique_naturel_moy,mout_pH,mout_acidite_totale,mout_acidite_totale_H2SO4,mout_acide_malique_TH2,mout_Dioxy_de_soufre_total,mout_Dioxy_de_soufre_libre,mout_Acide_tartrique,mout_azote_alpha_amine,mout_azote_amoniacal,mout_azote_assimilable,raisin_Teinteb,raisin_Fermeteb,raisin_Forcepedi,raisin_Qtitechairped,raisin_Croquant,raisin_Fermeteg,raisin_Dilapelli,raisin_Agrespelli,raisin_Couleurpepin,raisin_Teintej,raisin_Sucrej,raisin_Acidej,raisin_IntGloAro,raisin_Fblanc,raisin_Fjaune,raisin_Fexot,raisin_FAgrume,raisin_Vegetal,raisin_Nconfite,raisin_Champignon,vin_titre_alcoometrique_volumique_acquis,vin_glucos_fructose,vin_pH,vin_acidite_totale,vin_acide_malique,vin_acide_acetique,vin_dioxyde_de_soufre_total,vin_dioxyde_de_soufre_libre,vin_acide_tartrique,vin_gaz_carbonique,vin_Odeur_Fruits_jaunes,vin_Odeur_Fruits_blancs,vin_Odeur_Fruits_cuits,vin_Odeur_Fruits_exotiques,vin_Odeur_Fruits_secs,vin_Odeur_Agrumes,vin_Odeur_Fleurs_blanches,vin_Odeur_Floral_autre,vin_Odeur_Vegetal,vin_Odeur_Boise,vin_Odeur_Soufre,vin_Odeur_Grille,vin_Odeur_Epice,vin_Odeur_Lacte,vin_Odeur_Moisi_terreux,vin_Odeur_Acide,vin_Odeur_Sucre,vin_Odeur_Amer,vin_Odeur_Astringent,vin_Odeur_Brulant,vin_Odeur_Perlant,vin_Arome_Fruits_jaunes,vin_Arome_Fruits_blancs,vin_Arome_Fruits_cuits,vin_Arome_Fruits_exotiques,vin_Arome_Fruits_secs,vin_Arome_Agrumes,vin_Arome_Fleurs_blanches,vin_Arome_Floral_autre,vin_Arome_Vegetal,vin_Arome_Boise,vin_Arome_Soufre,vin_Arome_Grille,vin_Arome_Epice,vin_Arome_Lacte,vin_Arome_Moisi_terreux
parcelle,parcelle,parcelle,parcelle,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,mout_chimique,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,raisin_sensoriel,vin_chimique,vin_chimique,vin_chimique,vin_chimique,vin_chimique,vin_chimique,vin_chimique,vin_chimique,vin_chimique,vin_chimique,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel,vin_sensoriel
5.4258,5.866666667,4.8764,1.833333333,0.109533333,21.20666667,1.316733333,1.202666667,1.259733333,0.294533333,0.62,0.949,0.497333333,6.293333333,1.74,0.552,7.54,2.393333333,9.933333333,0.444974603,0.294904762,0.35541873,0.358615873,0.367207937,0.34128254,0.350168254,0.350063492,0.386306349,0.661746032,0.408650794,-0.373888889,0.327539683,0.252698413,0.244206349,0.154253968,0.141825397,0.113079365,0.16202381,0.154126984,1.333333333,0.497333333,0.296066667,0.606666667,0.36,0.024933333,8.593333333,2.533333333,0.358,145.2333333,0.1248,0.223533333,0.105333333,0.069866667,0.039266667,0.165466667,0.155733333,0.1026,0.149533333,0.0368,0.1754,0.037466667,0.052333333,0.082466667,0.054733333,0.529066667,0.160266667,0.3502,0.343,0.2288,0.195333333,0.1214,0.280733333,0.062733333,0.052466667,0.017266667,0.3542,0.078,0.056666667,0.1524,0.03,0.106533333,0.038866667,0.081533333,0.057466667,0.042066667
54.87,50,50.95,2.5,1.1,227,14.04,12.9,13.47,2.96,5.35,8.2,3.4,64,18,5.9,52,0,52,4.95,3.386666667,4,3.695,3.945,3.306666667,3.61,3.611666667,3.721666667,7.166666667,4,-3.583333333,3.166666667,1.833333333,2.5,1.583333333,1.25,1.2,1.875,1.666666667,14.3,5,2.91,5.55,2.5,0.24,95,28,3.6,1615,1.37,1.61,1.03,0.49,0.14,1.79,1.6,0.95,1.64,0.26,2.65,0.13,0.59,0.41,1,5.09,1.64,3.35,3.36,2.35,1.95,1.29,2.61,0.65,0.43,0.09,3.65,0.68,0.73,1.42,0.24,1.19,0.39,0.66,0.49,0.49
58,68,39.6,20,1.1,219,13.58,12.4,12.99,2.99,5.65,8.65,4.1,66,19,5.2,44,0,44,4.83,3.083333333,3.778333333,3.833333333,4.388333333,3.64,3.805,3.39,3.668333333,7.166666667,4.583333333,-4.166666667,3.583333333,2.083333333,2.333333333,1.666666667,1.166666667,1.333333333,2.416666667,1.833333333,13.85,4.7,2.97,5.5,3.1,0.19,89,27,3.1,1575,1.52,2.12,1.01,1.14,0.71,1.71,1.55,1.09,1.79,0.36,1.56,0.37,0.55,0.77,0.64,5.05,1.55,3.63,2.7,2.42,1.61,1.38,2.82,0.64,0.65,0.09,3.75,0.95,0.61,1.44,0.23,0.78,0.45,0.99,0.43,0.41
62,70,41.12,60,1.1,222,13.81,12.6,13.2,2.95,5.8,8.9,4.8,67,18,4.9,50,18,68,4.9,3.334285714,3.332857143,3.62,3.881428571,3.57,3.714285714,3.714285714,4,6.642857143,4.785714286,-3.857142857,3.714285714,2.642857143,2.714285714,1.714285714,1.428571429,1,1.857142857,1.357142857,14.1,3.5,2.98,5.6,3.3,0.23,97,27,2.9,1540,0.92,2.23,0.71,0.82,0.18,2.03,1.39,1.44,1.56,0.43,2.11,0.4,0.56,0.77,0.93,5.54,1.5,3.38,3.17,2.64,1.82,1.31,2.96,0.41,0.4,0.07,3.74,0.93,0.65,1.52,0.33,0.84,0.4,0.99,0.45,0.42
54,31,80.88,7.5,1.08,169,10.53,9.6,10.07,2.91,6.5,9.95,4.3,62,18,6.9,56,2,58,4.42,2.973333333,3.498333333,3.498333333,3.526666667,3.278333333,3.583333333,3.361666667,4.166666667,6.416666667,3.833333333,-3.333333333,3.333333333,2.25,2.666666667,1.416666667,1.333333333,1.166666667,1.333333333,1.666666667,10.8,0.3,2.84,6.65,3.4,0.14,65,20,5.2,1685,1.18,1.84,0.89,0.3,0.42,1.49,1.41,0.93,1.46,0.34,1.79,0.23,0.27,1.29,0.64,5.72,0.98,3.45,3.72,1.75,1.86,0.87,2.88,0.22,0.37,0.07,3.8,0.84,0.29,2,0.24,0.93,0.19,0.47,0.52,0.36
53,31,79.38,10,1.09,201,12.59,11.3,11.94,2.91,5.85,8.95,3.6,61,16,6.4,77,19,96,5.06,2.666666667,3.335,3.666666667,3.443333333,3.39,3.555,3.276666667,4,6.583333333,4.083333333,-3.916666667,2.75,2.416666667,2.333333333,1.416666667,1.333333333,1,1.333333333,1.916666667,12.6,2.5,2.9,5.95,2.7,0.27,82,27,4.8,1625,1.21,1.96,0.88,0.75,0.47,1.85,1.37,1.21,1.42,0.56,2.11,0.25,0.48,0.61,0.41,5.64,1.58,3.53,3.54,2.16,2.05,0.94,3.16,0.47,0.62,0.09,3.81,0.61,0.5,1.5,0.49,1.57,0.57,0.76,0.45,0.9
49,48,47.4,10,1.1,224,13.96,12.7,13.33,3.02,6.05,9.25,4.4,76,24,5.5,91,37,128,3.33,2.86,3.734,3.276666667,3.445,3.583333333,3.223333333,3.335,3.971666667,7.083333333,4.166666667,-3.833333333,3.25,2.166666667,2.75,1.666666667,1.25,1.083333333,1.583333333,1.583333333,13.95,5.5,3.04,5.8,3.6,0.29,98,22,3.1,1375,1.53,2.31,1.65,0.58,0.12,1.8,1.84,0.81,1.5,0.45,1.33,0.46,0.53,1.07,0.33,4.79,1.79,3.59,3.18,2.69,2.15,1.59,2.4,0.88,0.76,0.17,3.42,0.6,0.61,1.59,0.31,0.66,0.42,1.07,0.75,0.18
48,55,40.52,25,1.1,217,13.5,12.3,12.9,2.88,6.45,9.85,5.5,51,12,5.4,89,23,112,3.57,2.857142857,3.57,3.285714286,3.667142857,3.524285714,3.428571429,3.572857143,3.761428571,6.214285714,4.142857143,-4.071428571,3.642857143,2.357142857,2.928571429,1.785714286,1.428571429,1,1.642857143,1.857142857,13.4,7.6,2.96,6.15,3.8,0.21,74,25,3.7,1205,1.36,2.23,0.77,1.14,0.09,1.07,1.53,0.86,1.66,0.34,1.02,0.37,0.89,0.94,0.32,4.9,1.51,3.37,3.03,2.16,2.02,1.31,2.62,0.91,0.45,0.11,2.95,0.92,0.63,1.59,0.19,0.81,0.42,0.82,0.71,0.21
59,52,52.68,2.5,1.1,217,13.5,12.3,12.9,3,6.35,9.7,4.7,78,24,5.1,82,16,98,4.39,2.946666667,3.666666667,3.39,3.555,3.193333333,3.223333333,3.473333333,3.776666667,6.666666667,4.25,-3.833333333,3.583333333,2.833333333,2.5,1.583333333,1.583333333,1.083333333,1.666666667,1.333333333,13.35,7.2,3.03,5.95,4.2,0.27,89,20,2.6,1335,1.49,2.2,1.74,0.85,0.25,1.57,1.84,1.09,0.98,0.38,0.86,0.43,0.37,0.72,0.34,4.98,1.86,3.92,3.22,2.22,1.96,1.33,2.94,0.74,0.59,0.2,3.13,0.8,0.53,1.18,0.21,1.1,0.55,0.81,0.65,0.29
