numexp,Temperature,GrowthPhase,dUFCFreezing,dtpH07Freezing,dtpH07speFreezing,dUFCDrying,dtpH07Drying,dtpH07speDrying,dUFCSto3,dtpH07Sto3,dtpH07speSto3,Anisotropy,UFA,SFA,CFA,UFASFA,CFASFA,CFAUFA,ATPprotonmotiveforceinterconversion,Adaptationsandatypicalconditions,Cations,Chaperones,Detoxification,Electrontransport,General,Membraneslipoproteinsandporins,Multidrugresistance,Mureinsacculusandpeptidoglycan,Siderophorebiosynthesis,Thioredoxinglutaredoxinandglutathione
Autre,Condition,Condition,Population,Population,Population,Population,Population,Population,Population,Population,Population,Anisotropy,Cellular,Cellular,Cellular,Cellular,Cellular,Cellular,Genomic,Genomic,Genomic,Genomic,Genomic,Genomic,Genomic,Genomic,Genomic,Genomic,Genomic,Genomic
0,0,0,0,0,0,0,0,0,0,0,0,0.02,1,1,1,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0
1,0.846153846,0.857142857,0.616712436,1.263157895,1.136853954,0.700068634,1.447087777,0.837730563,1.141138739,1.006859148,0.97916485,0.902489627,1.543115176,0.936306605,0.974462547,1.614632598,1.038988668,0.489899261,1.854874631,0.663532213,1.015866325,0.902385008,0.739984461,0.9701748,1.393708746,1.014182796,1.169629927,0.93781669,0.834837162,0.753681173
3,0.846153846,0.857142857,1.228717144,0.541353383,0.875715224,1.260123542,1.732567678,1.501751109,0.804363648,1.108310735,6.077935664,0.858921162,1.594524455,0.967909137,0.907729373,1.613949921,0.936236451,0.441636724,1.109429197,1.011713949,1.032446927,0.701611467,1.171252184,0.942630027,0.834258762,1.076168387,1.024025963,1.104136194,1.258418673,0.977927386
4,0.846153846,1.142857143,1.012161632,0.541353383,0.993903011,1.033630748,0.698933552,0.93018912,0.930954228,0.780985803,0.434138262,1.070539419,0.774833404,1.009127992,1.040828631,0.752238473,1.029666832,1.042103535,1.181484683,0.7110067,1.159166754,0.926002201,0.810061679,1.075383855,1.203798211,0.959750416,1.166262454,1.105544403,0.906873328,1.009947904
6,0.846153846,1.142857143,0.837975677,1.353383459,0.993903011,0.741249142,1.181296144,0.619192155,1.314852879,1.071941298,0.350448958,1.020746888,0.726313442,0.987691309,1.090392947,0.720437504,1.102111536,1.164659374,0.302640308,1.10299641,1.139611948,0.678816218,1.15516337,0.888259041,0.728797275,1.361384208,1.028545007,1.151964996,0.940603377,0.931134087
13,1.153846154,0.857142857,0.564927423,2.07518797,1.047931714,0.78242965,1.417555373,0.938594443,1.045164077,1.226989951,1.077499782,1.020746888,1.040630102,0.964524075,1.04909402,1.057004343,1.085838123,0.782092285,1.008522448,0.744788817,0.998723668,0.922769221,0.808614359,1.130174001,1.336011879,0.883889904,1.271386945,0.93671024,0.863105453,0.952434079
14,1.153846154,0.857142857,2.584542958,1.172932331,0.735015477,1.647220316,0.866283839,0.952603315,0.989498772,0.725474557,0.12134949,1.020746888,1.138221062,0.971786072,1.015083842,1.147491319,1.042785517,0.691855299,0.359332678,1.323595692,1.017693001,1.010936423,1.257721144,0.974126876,0.746565514,0.948174299,0.909008427,1.042879116,0.94650798,1.142633646
17,1.153846154,1.142857143,0.696743821,0.360902256,1.087327643,0.78242965,0.255947498,0.537940696,1.122903553,0.813526878,0.063394647,1.082987552,0.436894386,1.085200326,0.992869011,0.394420984,0.913367989,1.763012803,1.150852926,0.714391758,1.024156626,0.988305562,0.82019292,1.104485507,1.405337958,0.974528437,1.116465723,1.012351164,0.805314143,0.905140659
18,1.153846154,1.142857143,0.918007062,0.631578947,1.02767095,1.050102951,0.590648072,0.989026383,0.878168164,1.303557186,0.329526632,1.058091286,0.436892653,1.068343615,1.022197788,0.400642708,0.955185506,1.815098382,0.726586736,1.48334,0.819194155,1.070883544,1.222615218,1.089156242,0.705389117,0.911311344,0.649625739,0.869920914,1.336211828,1.410082552
2,0.846153846,0.857142857,0.654374264,0.360902256,1.123346778,0.984214139,1.319114028,1.681064674,0.666064159,1.205933961,0.739604219,0.834024896,1.860052937,0.967255827,0.842488118,1.883984871,0.869533215,0.351381146,1.455753371,0.859576513,0.947178604,0.838437758,0.961121505,0.962809567,0.939221142,0.983805751,0.976148518,0.973021907,1.075080727,0.89458684
5,0.846153846,1.142857143,0.918007062,1.443609023,0.956758278,1.165408373,1.112387203,1.669857576,0.619036574,0.993459882,0.404847005,1.064315353,0.837421058,1.018059597,1.008113221,0.80586842,0.988552763,0.933910821,1.010920664,1.277954461,1.00043325,1.599886754,0.944999032,1.1110723,0.951898481,0.980603846,0.875490726,0.938017862,1.336359443,1.298773744
15,1.153846154,0.857142857,1.228717144,0.812030075,0.953381484,1.153054221,0.689089418,0.874153631,1.048235266,1.05471367,1.339028855,1.05186722,1.182818049,0.951331844,1.039533992,1.218089976,1.090863491,0.681805855,0.266554427,1.293168205,0.962283814,0.753065166,1.235338171,0.867899861,0.671599516,0.930276472,0.865492995,1.019191034,0.86709106,0.999047848
16,1.153846154,1.142857143,0.739113378,1.443609023,1.068192477,0.700068634,0.689089418,0.467896334,1.43961994,0.708246929,0.083061634,1.014522822,0.428283276,1.072463601,1.017206509,0.391238885,0.94686991,1.842544517,1.573047929,0.813935282,0.883244927,1.606900677,0.872935956,0.883827925,1.083413399,0.975924139,0.947917575,0.90844548,0.829596826,0.724610083
