numexp,Temperature,Age,UFCcentri,tpH07centri,UFCcong,tpH07cong,UFClyo,TpH07lyo,UFCsto3,tpH07sto3,C140,C150,C160,C161cis,C170,C180,C181trans9,C181trans11,C181cis9,C181cis11,C19cyc,C220,Anisotropy
Autre,condition,condition,Population,Population,Population,Population,Population,Population,Population,Population,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Anisotropy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,3,1.6E+11,375,29000000000,361,12000000000,508,110000000,1034,1.056921199,0.006346026,49.90496845,0.534689617,0.274579626,3.234606289,0,0.036955287,0,12.35678315,32.56466285,0.029487501,0.145
3,22,3,3E+11,356,39000000000,350,8400000000,526,19000000,1105,1.10308234,0.004391698,51.63969083,0.598300856,0.209862985,3.317064345,0,0,0,12.72265464,30.33456861,0.070383692,0.138
4,22,4,2.5E+11,366,35000000000,360,9900000000,431,200000000,839,1.342234479,0.005054639,53.16073036,0.421607597,0.182770701,3.962309666,0,0,0,6.051495569,34.78248965,0.091307335,0.172
6,22,4,2.1E+11,351,32000000000,336,14000000000,456,300000000,1016,1.066234357,0.001842506,52.01996197,0.363593443,0.155658871,4.21546372,0,0,0,5.704164888,36.43883371,0.034246539,0.164
13,30,3,1.5E+11,378,30000000000,355,11000000000,499,110000000,1140,1.821141421,0.003778507,51.06315094,0.352021541,0.078603048,3.180151022,0.10085352,0,4.002831244,4.338765707,35.05870305,0,0.164
14,30,3,6E+11,378,51000000000,365,11000000000,453,690000000,832,1.824646623,0.003187095,51.25311079,0.380409326,0.051848282,3.436147247,0,0,4.327590112,4.800912186,33.92214834,0,0.164
17,30,4,1.8E+11,381,32000000000,377,13000000000,403,1300000000,828,2.263666662,0.002957873,56.83559174,0.337332725,0.098462247,3.869939035,0,0,0.220739961,3.091824721,33.17977145,0.099713583,0.174
18,30,4,2.3E+11,385,35000000000,378,9500000000,438,350000000,1119,2.120067098,0.004056986,55.84263041,0.347012247,0.209037534,3.854368384,0,0,0.133456516,3.169414169,34.15988273,0.160073925,0.17
2,22,3,1.7E+11,383,31000000000,379,7100000000,513,160000000,1143,1.082125801,0.004382141,51.65981347,0.609124195,0.289443673,3.270673375,0,0,0,14.9301059,28.15433144,0,0.134
5,22,4,2.3E+11,370,35000000000,354,6700000000,467,250000000,986,1.243931313,0.004436898,53.20229422,0.477270721,0.249933957,4.482860688,0,0.051143625,0,6.51870141,33.68920363,0.080223542,0.171
15,30,3,3E+11,390,39000000000,381,11000000000,451,78000000,1002,1.774463272,0.004138841,50.36462396,0.416873276,0.101332095,3.134733319,0,0,4.414945045,5.049664874,34.73922532,0,0.169
16,30,4,1.9E+11,398,33000000000,382,16000000000,452,1000000000,822,2.267971904,0.002964029,56.62705501,0.349538203,0.055329,3.475637667,0,0,0,3.22842038,33.99308381,0,0.163
