date,s,ac,ac_m,s_1,ac_1,ac_m_1,var_s,var_ac,var_ac_m,ins,pl,hr,t
date,chim,chim,chim,chimt1,chimt1,chimt1,diffchim,diffchim,diffchim,meteo,meteo,meteo,meteo
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
32748.00,153.2,8.5,7.15,179.5,6.5,4.9,26.3,-2,-2.25,46,0,75,110
32748.00,180.65,5.45,5.5,194,5,4.65,13.35,-0.45,-0.85,46,0,75,110
32755.00,194,5,4.65,233.6,4,2.98,39.6,-1,-1.67,48.7,0,71.5,118.7
32748.00,174,6,4.25,186.2,5.5,3.8,12.2,-0.5,-0.45,46,0,75,110
32755.00,186.2,5.5,3.8,226.7,4.05,1.8,40.5,-1.45,-2,48.7,0,71.5,118.7
34953.00,166.3,7.9,5.52,176.2,6.8,4.92,9.9,-1.1,-0.6,33,23,79.14,108.45
34960.00,176.2,6.8,4.92,190.7,6.3,4.65,14.5,-0.5,-0.27,32.8,13.5,79.71,106.2
34966.00,190.7,6.3,4.65,197.4,5.9,3.52,6.7,-0.4,-1.13,28.3,5,79.43,91.25
34974.00,197.4,5.9,3.52,213.1,5.35,3.65,15.7,-0.55,0.13,31.6,5,79.43,118.25
34946.00,182.9,7,4.36,195.1,6.1,3.4,12.2,-0.9,-0.96,20.2,36.5,77.71,119.25
34953.00,195.1,6.1,3.4,206.4,5.5,3.3,11.3,-0.6,-0.1,33,23,79.14,108.45
34960.00,206.4,5.5,3.3,221.05,5.3,3.2,14.65,-0.2,-0.1,32.8,13.5,79.71,106.2
34966.00,221.05,5.3,3.2,230.2,4.9,2.38,9.15,-0.4,-0.82,28.3,5,79.43,91.25
34974.00,230.2,4.9,2.38,249.7,4.75,2.55,19.5,-0.15,0.17,31.6,5,79.43,118.25
34946.00,158.65,9.4,7.98,175.1,7.8,6.08,16.45,-1.6,-1.9,20.2,36.5,77.71,119.25
