sr,age,gender,exp_regre,kown_law,c,d,opt_glob,click_graph,click_mat,click_eq,click_OnOff,total_click,temps_lect,temps_lide,n_decouv
Out,In,In,In,In,In,In,In,In,In,In,In,In,In,In,In
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,47,1,1,1,4,2,9,123,108,128,60,428,15,60,15
3,27,1,1,1,2,2,1,20,7,4,4,36,3,25,20
2,30,2,0,0,2,3,1,68,55,141,49,314,21,26,13.5
3,33,1,0,1,1,3,1,83,0,111,49,244,9,17,10
3,60,2,1,1,2,3,0,3,0,18,21,42,15,15,13.5
3,62,1,1,1,2,2,1,9,0,58,14,82,6,9,4
3,36,1,1,1,2,3,1,19,0,20,67,107,7,14,12
1,65,2,0,1,2,1,2,22,0,35,24,83,11,26,12
0,28,2,1,0,3,2,4,16,0,98,47,165,13,31,3
3,60,1,0,1,2,2,0,19,9,104,44,176,9,36,15
1,62,1,1,1,2,3,0,4,0,180,54,238,9,28,20
1,50,1,0,1,4,2,1,99,67,94,45,306,13,36,23
3,46,2,0,1,2,2,0,45,28,44,56,173,11,20,15
0,55,1,0,0,3,2,1,7,0,106,23,137,7,18,13.5
