Class,Class,Class,Class,Class
Genes,Genes,Genes,Genes,Genes
0,0,0,0,0
1246.3514236,250.58050964,18877.8839498,126808.477918,9182.2197861
1584.233452,310.31376892,7316.8720258,71845.8036708,15993.9916272
689.16359747,315.76518184,15964.4057376,72956.3682481,2362.15084631
213.82944396,124.83684301,3852.6380163,22712.8893767,3984.8909098
899.75487672,1147.7294888,15878.5054896,67285.1331457,1677.55502616
205.32343185,1286.0713141,4732.7051045,27528.2724839,1245.00662779
802.00483957,927.900948,18980.7812017,74521.1706053,1847.25339494
576.63896307,814.50253532,5091.9279869,57221.119959,4836.5593026
1568.8012368,275.22828711,12688.0240376,99167.809948,13701.2718789
580.92076865,797.29080669,11934.4467642,70199.6196744,3787.1313325
121.75034201,1433.2787786,3090.7710584,22579.2639209,1362.15729168
716.76624558,639.41737021,20277.0076914,107374.419708,4016.3403561
