Class0,Class1,Class2,Class3,Class4,Class5,Class6
Genes,Genes,Genes,Genes,Genes,Genes,Genes
0,0,0,0,0,0,0
23647.5771255,5484.747487,1514.648419,1158.98333315,219.84153772,21.253562554,2611.199412
25105.0,3661.0,2236.0,1106.0,266.0,67.0,2386.0
22834.0205994,3806.7638931,369.33740283,525.38519012,140.73468659,7751.7102885,963.9961434
22255.8783781,2036.4527972,312.10703871,419.79309299,20.077060963,4210.707241,1512.1677283
18979.5681306,1897.3004821,256.47382783,367.04030092,23.728877777,5975.133372,1089.5088986
18361.8441033,1864.8114951,471.94179388,469.91629264,49.287197367,4756.552129,1258.5114505
19852.4419534,3620.7528871,722.52692154,602.70110846,132.16559867,8701.1725216,1385.9527645
21083.6170339,1842.5532388,231.77727231,413.85175965,28.908762619,5924.7748241,940.2955422
23388.5392934,4308.0548477,2163.5695327,1094.02355898,256.80719864,26.551955909,2167.303401
20372.3397764,2972.6237816,412.99527454,638.07508195,85.32095024,10203.4434549,1121.7349471
19767.201709,3135.9073831,625.42384523,774.82251549,118.64012051,19.041006996,2136.1080468
21389.683557,1872.3048221,275.96909667,322.33702137,20.146063843,4759.9073052,1451.7957115
