Class103,Class105,Class117,Class118
Genes,Genes,Genes,Genes
0,0,0,0
15334.5445215,153.13253367,68278.2755359,660.8446773
12172.2325763,188.98808482,40387.4536928,814.2819952
3914.1894781,237.0268203,39697.9337231,374.2101513
7925.2855193,77.86852584,12409.5237996,64.27243402
7146.5470175,919.4031383,35357.3855447,323.85755352
5754.6558229,896.8900819,14060.9219293,78.39621943
8162.2643702,686.2115051,39872.5409863,387.79109977
5283.4544986,582.81723762,29726.768258,294.49775611
11733.8993095,166.15633631,52915.186608,858.3045103
5650.5363262,591.41143719,37066.1545154,289.80471756
7341.1839884,918.5520852,11674.7728939,33.752570064
10988.6969017,500.18939441,56565.2325895,391.9009688
