num_cds;X1;X2;X3;X4;X5;X6;X13;X14;X15;X16;X17;X18;num_cds;cds_locustag;cds_product
2;13269.30254;11881.70709;12699.53267;10043.60564;7423.459305;13614.63194;7786.131809;10062.71474;12056.9002;9453.321724;8037.922534;8228.432061;2;O208_01334;DNA-directed RNA polymerase beta subunit 
3;185.0692653;164.1176083;158.6566638;134.7481239;83.92534808;119.8928096;103.6615182;70.92991283;85.58687408;128.2702184;101.8048779;94.73354393;3;O208_01335;hypothetical protein
4;18197.3859;14676.80325;12720.53134;11507.97682;7486.403316;9176.125965;9855.974542;5810.653122;7186.886525;12163.11066;10640.55258;8239.758897;4;O208_01336;DNA-directed RNA polymerase beta-prime subunit
5;691.9625185;458.7138119;422.3067082;780.0779943;674.0254518;472.1551884;712.080102;533.8409229;365.251026;647.7968316;700.9770981;507.64823;5;O208_01337;Diacylglycerol kinase-related protein
6;798.4182905;299.6930238;370.976611;2617.035852;854.9894836;541.3716558;365.8641818;1133.012029;736.5292967;88.95120673;274.3291748;887.6121182;6;O208_01338;glutamate ABC transporter permease protein
7;905.6929532;187.5629809;202.9872023;2347.539604;789.4228054;263.2697778;281.8509252;872.6245855;412.2635343;56.72250864;149.2102027;544.7178776;7;O208_01339;Amino acid ABC transporter, ATP-binding protein
8;1115.328935;1196.733367;1364.913946;1174.581538;1611.62895;1589.506734;1343.534579;1609.922364;1467.031349;1445.779396;1227.875626;1622.826796;8;O208_01340;Negative regulator of genetic competence MecA
9;3096.225186;2965.329953;2872.152253;2781.818196;3457.986608;3122.157084;3273.806901;3255.309683;2715.876441;3339.537696;3120.202937;2985.136346;9;O208_01341;Undecaprenyl-phosphate N-acetylglucosaminyl 1- phosphate transferase
10;1193.123538;970.4345532;1259.920566;1256.566842;975.6321715;2439.880476;1005.448974;2036.435129;1850.364109;968.7946646;1158.71048;914.3846414;10;O208_01342;Iron-sulfur cluster assembly ATPase protein SufC
11;2717.078859;2290.510967;2872.152253;3033.456259;2216.153723;5206.067156;2472.293332;4356.589909;3771.849704;2222.49102;2754.948795;2080.019117;11;O208_01343;Iron-sulfur cluster assembly protein SufD
12;2411.632683;2085.618798;2608.502208;2883.285157;1927.660339;4396.481689;2391.667707;3267.442432;2777.354336;2064.5704;2727.749018;1708.292928;12;O208_01344;Cysteine desulfurase , SufS subfamily
13;491.3343326;398.5713343;611.294793;598.2492006;417.0040733;910.9381515;548.1187464;591.7047991;550.8901613;415.7502054;592.177992;307.8840178;13;O208_01345;hypothetical protein
