source_id annotation_status protein_id LocusID Genename Function ECNumber Class1 Class2
LLHV30-3 Confirmed 610 O208_01382 aroE Shikimatedehydrogenase 1.1.1.282 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 622 O208_01395 tyrA Prephenatedehydrogenase 1.3.1.12 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 42 O208_02032 trpD Anthranilatephosphoribosyltransferase 2.4.2.18 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 623 O208_01396 aroA 3-phosphoshikimate1-carboxyvinyltransferase 2.5.1.19 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 1656 O208_00521 aroF Phospho-2-dehydro-3-deoxyheptonatealdolase 2.5.1.54 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 1171 O208_00810 aroH Phospho-2-dehydro-3-deoxyheptonatealdolase 2.5.1.54 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 779 O208_01810 yeiG Serine-pyruvateaminotransferase 2.6.1.51 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 624 O208_01397 aroK Shikimatekinase 2.7.1.71 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 43 O208_02033 trpC Indole-3-glycerolphosphatesynthase 4.1.1.48 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 40 O208_02030 trpE AnthranilatesynthasecomponentI 4.1.3.27 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 41 O208_02031 trpG AnthranilatesynthasecomponentII 4.1.3.27 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 1917 O208_02372 aroD 3-dehydroquinatedehydrataseI 4.2.1.10 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 294 O208_02036 trpB Tryptophansynthasebetachain 4.2.1.20 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 295 O208_02037 trpA Tryptophansynthasealphachain 4.2.1.20 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 625 O208_01398 pheA Prephenatedehydratase 4.2.1.51 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 611 O208_01383 aroB 3-dehydroquinatesynthase 4.2.3.4 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 615 O208_01387 aroC Chorismatesynthase 4.2.3.5 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 44 O208_02034 - Phosphoribosylanthranilateisomerase 5.3.1.24 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 2558 O208_00113 ywiC ChorismatemutaseI 5.4.99.5 AMINO-ACIDBIOSYNTHESIS Aromaticamino-acidfamily
LLHV30-3 Confirmed 392 O208_02591 metC Cystathioninegamma-synthase/cystathioninebeta-lyase - AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 1276 O208_00916 hom Homoserinedehydrogenase 1.1.1.3 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 211 O208_01932 dapB 4-hydroxy-tetrahydrodipicolinatereductase 1.17.1.8 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 1170 O208_00809 metF 510-methylenetetrahydrofolatereductase 1.5.1.20 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 1169 O208_00808 metE 5-methyltetrahydropteroyltriglutamate-homocysteinemethyltransferase 2.1.1.14 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 457 O208_02656 metE 5-methyltetrahydropteroyltriglutamate-homocysteineS-methyltransferase 2.1.1.14 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 139 O208_01703 metA HomoserineO-succinyltransferase 2.3.1.46 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 140 O208_01704 metB1 Cystathioninegamma-synthase 2.5.1.48 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 952 O208_00253 aspB Aspartateaminotransferase 2.6.1.1 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 2527 O208_01322 aspC Aspartateaminotransferase 2.6.1.1 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 481 O208_01599 arcT Aspartateaminotransferase 2.6.1.1 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 141 O208_01705 ytjE Aspartateaminotransferase 2.6.1.1 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 1275 O208_00915 thrB Homoserinekinase 2.7.1.39 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 436 O208_02635 thrA Aspartokinase 2.7.2.4 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 1137 O208_00776 lysA Diaminopimelatedecarboxylase 4.1.1.20 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 279 O208_01528 thrC Threoninesynthase 4.2.3.1 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 1891 O208_02346 dapA 4-hydroxy-tetrahydrodipicolinatesynthase 4.3.3.7 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
LLHV30-3 Confirmed 1783 O208_02239 - Cystathioninebeta-lyase 4.4.1.8 AMINO-ACIDBIOSYNTHESIS Aspartatefamily
